scenario	status	log_file
cap-bpf	success	/tmp/container-risk-labs/proof-runs/all-20260510-222429/cap-bpf.log
cap-dac-override-single	failed	/tmp/container-risk-labs/proof-runs/all-20260510-222429/cap-dac-override-single.log
cap-dac-override-writable-host-mount	success	/tmp/container-risk-labs/proof-runs/all-20260510-222429/cap-dac-override-writable-host-mount.log
cap-dac-read-search	failed	/tmp/container-risk-labs/proof-runs/all-20260510-222429/cap-dac-read-search.log
cap-kill-host-pidns	success	/tmp/container-risk-labs/proof-runs/all-20260510-222429/cap-kill-host-pidns.log
cap-mknod	success	/tmp/container-risk-labs/proof-runs/all-20260510-222429/cap-mknod.log
cap-net-admin	success	/tmp/container-risk-labs/proof-runs/all-20260510-222429/cap-net-admin.log
cap-net-raw	success	/tmp/container-risk-labs/proof-runs/all-20260510-222429/cap-net-raw.log
cap-perfmon	success	/tmp/container-risk-labs/proof-runs/all-20260510-222429/cap-perfmon.log
cap-setfcap	success	/tmp/container-risk-labs/proof-runs/all-20260510-222429/cap-setfcap.log
cap-setpcap	success	/tmp/container-risk-labs/proof-runs/all-20260510-222429/cap-setpcap.log
cap-sys-admin	success	/tmp/container-risk-labs/proof-runs/all-20260510-222429/cap-sys-admin.log
cap-sys-admin-shared-mount	success	/tmp/container-risk-labs/proof-runs/all-20260510-222429/cap-sys-admin-shared-mount.log
cap-sys-boot	success	/tmp/container-risk-labs/proof-runs/all-20260510-222429/cap-sys-boot.log
cap-sys-chroot-mountns	success	/tmp/container-risk-labs/proof-runs/all-20260510-222429/cap-sys-chroot-mountns.log
cap-sys-module	success	/tmp/container-risk-labs/proof-runs/all-20260510-222429/cap-sys-module.log
cap-sys-ptrace-host-pidns	success	/tmp/container-risk-labs/proof-runs/all-20260510-222429/cap-sys-ptrace-host-pidns.log
cap-sys-rawio	success	/tmp/container-risk-labs/proof-runs/all-20260510-222429/cap-sys-rawio.log
cap-sys-resource	success	/tmp/container-risk-labs/proof-runs/all-20260510-222429/cap-sys-resource.log
host-pidns	success	/tmp/container-risk-labs/proof-runs/all-20260510-222429/host-pidns.log
host-userns	success	/tmp/container-risk-labs/proof-runs/all-20260510-222429/host-userns.log
no-new-privs-delayed-cap	success	/tmp/container-risk-labs/proof-runs/all-20260510-222429/no-new-privs-delayed-cap.log
seccomp-unconfined	success	/tmp/container-risk-labs/proof-runs/all-20260510-222429/seccomp-unconfined.log
seccomp-unconfined-cap-mknod	success	/tmp/container-risk-labs/proof-runs/all-20260510-222429/seccomp-unconfined-cap-mknod.log
seccomp-unconfined-cap-sys-admin	success	/tmp/container-risk-labs/proof-runs/all-20260510-222429/seccomp-unconfined-cap-sys-admin.log
shared-mount	success	/tmp/container-risk-labs/proof-runs/all-20260510-222429/shared-mount.log
writable-host-mount	success	/tmp/container-risk-labs/proof-runs/all-20260510-222429/writable-host-mount.log
